Goncharenko	ゴンチャレンコ
Goncharov	ゴンチャロフ
Gorbachyov	ゴルバチョフ
Gorbenko	ゴルベンコ
Gorbov	ゴルボフ
Gorbunov	ゴルブノフ
Gordeyev	ゴルジェーエフ
Gorelov	ゴレロフ
Gorlov	ゴルロフ
Gorokholinsky	ゴロホリンスキー
Gorsky	ゴルスキー
Gorshenkov	ゴルシェンコフ
Gorshkov	ゴルシュコフ
Goryunov	ゴリュノフ
Goryachev	ゴリャチェフ
Grazhdankin	グラズダンキン
Granin	グラーニン
Grankin	グランキン
Grachev	グラチェフ
Grebenkin	グレベンキン
Grebennikov	グレベンニコフ
Grekov	グレコフ
Grigorenko	グリゴレンコ
Grigorev	グリゴリエフ
Grin	グリーン
Grinkov	グリニコフ
Gritsayev	グリツァエフ
Grishin	グリーシン
Grishukov	グリシュコフ
Gromov	グロモフ
Gromshikin	グロムシキン
Gromyko	グロムイコ
Gryzunov	グルィズノフ
Gubenko	グベンコ
Gubin	グービン
Guzhvin	グズヴィン
Gukov	グーコフ
Gulidov	グリドフ
Guliyev	グリエフ
Gulyayev	グリャーエフ
Gurevich	グレーヴィチ（グレヴィッチ）
Gurkalov	グルカロフ
Gurov	グーロフ
Gurev	グーリエフ
Gusarov	グサロフ
Gusev	グーセフ
Gustov	グストフ
Guskov	グシコフ
Gutsalov	グツァロフ
Gutseriyev	グツェリエフ
Gushchin	グーシン、グーシチン
Davidenko	ダヴィジェンコ
Davydkin	ダヴィトキン
Davydov	ダヴィドフ
Danilov	ダニロフ
Dankov	ダンコフ
Danchenko	ダンチェンコ
Dvurechensky	ドヴレチェンスキー
Dedegkayev	ジェジェクカエフ
Deynekin	ジェイネーキン
Delidov	ジェリドフ
Delyansky	ジェリャンスキー
Demenkov	ジェメンコフ
Dementev	ジェメーンチェフ
Demidov	ジェミードフ
Dyomin	ジョーミン
Demichev	ジェミチェフ
Demchenko	ジェムチェンコ
Denisov	ジェニソフ
Denisev	ジェニシエフ
Dergachev	ジェルガーチェフ
Deryabin	ジェリャービン
Deryagin	ジェリャーギン
Desyatnikov	ジェシャートニコフ
Desyatov	ジェシャートフ
Detkov	ジェトコフ
Didenko	ジジェンコ
Didichenko	ジジチェンコ
Dmitriyev	ドミトリエフ
Dobzhinsky	ドブジンスキー
Dovlatov	ドヴラートフ
Dogadin	ドガジン
Dogayev	ドガエフ
Dolgov	ドルゴフ
Dolgolaptev	ドルゴラプチェフ
Dolgopolov	ドルゴポロフ
Dolgushin	ドルグーシン
Dorzhiyev	ドルジエフ
Dorovskikh	ドロフスキフ
Doronin	ドローニン
Dorofeyev	ドロフェーエフ
Doroshenko	ドロシェンコ
Dostoyevsky	ドストエフスキー
Dotsenko	ドツェンコ
Draganov	ドラガノフ
Drozdov	ドロズドフ
Drokov	ドロコフ
Drubazhev	ドルバジェフ
Dubinin	ドゥビニン
Dubrovin	ドゥブロヴィン
Dudinsky	ドゥジンスキー
Dumchenko	ドゥムチェンコ
Dunayev	ドゥナエフ
Duryagin	ドゥリャーギン
Dyakov	ジヤコフ
Dyakonov	ジヤコノフ
Dyachenko	ジヤチェンコ
Dyachkov	ジヤチコフ
Dyudyayev	ジュジャエフ
Dyagilev	ジャギレフ
Dyadyuchenko	ジャジュチェンコ
Yevdokimov	エヴドキモフ
Yevstigneyev	エフスチグネーエフ
Yevsyukov	エフシュコフ
Yevteyev	エフチェーエフ
Yevtushenko	エフトゥシェンコ
Yegin	エーギン
Yegorov	エゴロフ
Yelagin	エラーギン
Yelizarov	エリザロフ
Yeliseyev	エリセーエフ
Yelistratov	エリストラートフ
Yeltsin	エリツィン
Yeltsov	エリツォフ
Yelshin	エリシン
Yemelyanov	エメリヤノフ
Yenkov	エニコフ
Yepimakhov	エピマホフ
Yeryomenko	エリョーメンコ
Yeryomin	エリョミン、エリョーミン
Yeryomkin	エリョームキン
Yeremchenko	エリョームチェンコ
Yerin	エーリン
Yermakov	エルマコフ
Yermachenko	エルマチェンコ
Yermolayev	エルモラーエフ
Yermolenko	エルモレンコ
Yerokhin	エローヒン
Yeroshin	エローシン
Yershov	エルショフ
Yefimov	エフィーモフ
Yefremov	エフレモフ
Zhalkovsky	ジャルコフスキー
Zharkov	ジャルコフ
Zharov	ジャロフ
Zhdakayev	ズダカーエフ
Zhdanov	ズダーノフ
Zhdanovsky	ズダノフスキー
Zhebelev	ジェベレフ
Zhebrovsky	ジェブロフスキー
Zheglov	ジェグロフ
Zhekov	ジェコフ
Zherebtsov	ジェレプツォフ
Zhigulin	ジグーリン
Zhidkikh	ジートキフ
Zhilkin	ジルキン
Zhiltsov	ジリツォフ
Zhirinovsky	ジリノフスキー
Zhirkov	ジルコフ
Zhitnikov	ジトニコフ
Zhokin	ジョキン
Zhochkin	ジョチキン
Zhukov	ジューコフ
Zhukovsky	ジュコフスキー
Zhuravkov	ジュラフコフ
Zhuravlyov	ジュラヴリョフ
Zhuravsky	ジュラフスキー
Zhurakovsky	ジュラコフスキー
Zabotkin	ザボトキン
Zavarykin	ザヴァルィキン
Zaveryukha	ザヴェリューハ
Zadonsky	ザドンスキー
Zadornov	ザドルノフ
Zaytsev	ザイツェフ
Zaklinsky	ザクリンスキー
Zamotin	ザモチン
Zamyatin	ザミャーチン
Zapolsky	ザポリスキー
Zaramensky	ザラメンスキー
Zarichansky	ザリチャンスキー
Zaslavsky	ザスラフスキー
Zasukhin	ザスーヒン
Zatulin	ザトゥーリン
Zakharov	ザハロフ
Zvenigorodsky	ズヴェニゴロツキー
Zverev	ズヴェーレフ
Zverkhovsky	ズヴェルホフスキー
Zvolinsky	ズヴォリンスキー
Zvyagin	ズヴャーギン
Zelenin	ゼレーニン
Zelenkin	ゼレンキン
Zelenov	ゼレノフ
Zelensky	ゼレンスキー
Zenkin	ゼンキン
Zerenkov	ゼレンコフ
Zerin	ゼーリン
Zilanov	ジラーノフ
Zimin	ジミーン
Zinovev	ジノヴィエフ
Zlobin	ズロービン
Zolotaryov	ゾロタリョフ
Zolotov	ゾロトフ
Zolotukhin	ゾロトゥーヒン
Zorin	ゾーリン
Zorkaltsev	ゾルカリツェフ
Zotikov	ゾチコフ
Zotin	ゾーチン
Zoshchenko	ゾーシェンコ、ゾーシチェンコ
Zubakin	ズバーキン
Zubakov	ズバコフ
Zubkov	ズプコフ
Zubkovsky	ズプコフスキー
Zubov	ズーボフ
Zuyev	ズーエフ
Zurabov	ズラボフ
Zykov	ズィーコフ
Zyuganov	ジュガノフ
Zyablitsev	ジャブリツェフ
Zyablov	ジャブロフ
Ivakin	イヴァキン
Ivanenko	イヴァネンコ
Ivanov	イヴァノフ（イワノフ）
Ivantayev	イヴァンタエフ
Ivanchenko	イヴァンチェンコ
Ivanyuta	イヴァニュタ
Ivlev	イヴレフ
Ivonin	イヴォニン
Ignatenko	イグナチェンコ
Ignatkov	イグナトコフ
Ignatov	イグナートフ
Ignatev	イグナーチェフ
Igrunov	イグルノフ
Igumnov	イグムノフ
Iyevlev	イエヴレフ
Ikonnikov	イコンニコフ
Illarionov	イッラリオーノフ
Ilovsky	イロフスキー
Ilenkov	イリエンコフ
Ilyin	イリイーン
Ilyinsky	イリインスキー
Ilyichev	イリイチェフ
Ilyushenko	イリユシェンコ
Ilyukhin	イリューヒン
Ilyushechkin	イリュシェチキン
Ilyushin	イリューシン
Imedoyev	イメドエフ
Ionov	イオーノフ
Ippolitov	イッポリートフ
Isayev	イサエフ
Isakov	イサコフ
Ispravnikov	イスプラーヴニコフ
Ishayev	イシャエフ
Ishchenko	イーシェンコ、イーシチェンコ
Kabayev	カバエフ
Kabakov	カバコフ
Kabanov	カバノフ
Kaverin	カヴェーリン
Kagalovsky	カガロフスキー
Kadannikov	カダンニコフ
Kadochnikov	カドチニコフ、カードチニコフ
Kazakov	カザコフ
Kazakovtsev	カザコフツェフ
Kazantsev	カザンツェフ
Kazarov	カザロフ
Kazmin	カジミン
Kalandin	カランジン
Kalatozov	カラトーゾフ
Kalashnikov	カラーシュニコフ（カラシニコフ）
Kalin	カーリン
Kalinin	カリーニン
Kalistratov	カリストラトフ
Kalmykov	カルムイコフ
Kalyagin	カリャーギン
Kamenev	カメネフ
Kaminsky	カミンスキー
Kamyshinsky	カムイシンスキー
Kanayev	カナーエフ
Kandakov	カンダコフ
Kandinsky	カンジンスキー（カンディンスキー）
Kantemirov	カンチェミロフ
Kapustin	カプスチン
Karaganov	カラガノフ
Karamzin	カラムジン
Karasin	カラシン
Karastin	カラスチン
Karachurin	カラチュリン
Karbovsky	カルボフスキー
Karganov	カルガノフ
Karev	カーレフ
Karelin	カレーリン
Karimov	カリモフ
Karlov	カルロフ
Karnaukh	カルナウフ
Karnaukhov	カルナウホフ
Karpov	カルポフ
Karsavin	カルサーヴィン
Kartashov	カルタショフ
Karyakin	カリャキン
Kasymov	カスィモフ
Kasyanov	カシヤノフ
Katayev	カターエフ
Katalnikov	カタリニコフ
Katanandov	カタナンドフ
Katrenko	カトレンコ
Katulsky	カトゥリスキー
Kaurov	カウロフ
Katsalapov	カツァラポフ
Kachanov	カチャノフ
Kachimov	カチモフ
Kashpirovsky	カシュピローフスキー
Kvasov	クヴァソフ
Kvashnin	クヴァシュニン
Kedrovsky	ケドロフスキー
Kekishev	ケキシェフ
Kechkin	ケチキン
Kiberiyev	キベリエフ
Kibirev	キービレフ
Kireninov	キレニノフ
Kiriyenko	キリエンコ
Kirilichev	キリリチェフ
Kirillov	キリーロフ
Kirichenko	キリチェンコ
Kirpichnikov	キルピチニコフ
Kiryakov	キリヤコフ
Kiselyov	キセリョフ
Kisin	キーシン
Kislitsyn	キスリツィン
Klevtsov	クレフツォフ
Klimenko	クリメンコ
Klimov	クリモフ
Klinov	クリノフ
Klochkov	クロチコフ
Klyuchnikov	クリュチニコフ
