Espla	エスプラ
Esquibel	エスキベル
Esquivel	エスキベル
Esteban	エステバン
Esteso	エステソ
Esteve	エステベ
Estévez	エステベス
Estrada	エストラダ
Expósito	エスポシト
Fajardo	ファハルド
Falla	ファジャ
Falque	ファルケ
Farías	ファリアス
Farinos	ファリノス
Feliciano	フェリシアーノ
Fernán	フェルナン
Fernández	フェルナンデス
Ferrandis	フェランディス
Ferreiro	フェレイロ
Ferrer	フェルレル
Ferrero	フェレロ
Fierro	フィエルロ
Figueras	フィゲーラス
Figuereo	フィゲレオ
Figueroa	フィゲロア
Fleta	フレータ
Florentino	フロレンティーノ
Flores	フロレス
Flórez	フロレス
Florido	フロリド
Fonseca	フォンセカ
Fortea	フォルテア
Franco	フランコ
Fresán	フレサン
Frías	フリアス
Fuenllana	フエンジャーナ
Fuentes	フエンテス
Gago	ガゴ
Gaitán	ガイタン
Galán	ガラン
Galarza	ガラルサ
Galdos	ガルドス
Galindo	ガリンド
Gallardo	ガジャルド
Gallegos	ガジェゴス
Gallén	ガジェン
Galván	ガルバン
Galves	ガルベス
Gálvez	ガルベス
Gamboa	ガンボア
Gamez	ガメス
Gaona	ガオナ
Garay	ガライ
García	ガルシア
Garibay	ガリバイ
Garica	ガリカ
Garmendia	ガルメンディア
Garnica	ガルニカ
Garrido	ガルリド
Garza	ガルサ
Garzón	ガルソン
Gasset	ガセト
Gastélum	ガステルム
Gaudí	ガウディ
Gaviola	ガビオラ
Gayo	ガジョ
Gaytán	ガイタン
Gil	ヒル
Giménez	ヒメネス
Giro	ヒロ
Girón	ヒロン
Gispert	ヒスペルト
Godínez	ゴディネス
Godoy	ゴドイ
Gómez	ゴメス
Gonzales	ゴンサレス
González	ゴンサレス
Goya	ゴジャ、ゴヤ
Gracia	グラシア
Gracián	グラシアン
Granado	グラナド
Granados	グラナドス
Granollers	グラノジェルス
Grases	グラセス
Griego	グリエゴ
Grijalva	グリハルバ
Guajardo	グアハルド
Guardado	グアルダド
Guardiola	グアルディオラ
Guerra	ゲルラ
Guerrero	ゲルレロ
Guevara	ゲバラ
Guillen	ギジェン
Güiza	グイサ
Gulin	グリン
Gurendez	グレンデス
Gurule	グルレ
Gutiérrez	グティエレス
Guzmán	グスマン
Halffter	アルッフテル（ハルフテル）
Haro	アロ
Helguera	エルゲラ
Henríquez	エンリケス
Heredia	エレディア
Hermosillo	エルモシージョ
Hermoso	エルモーソ
Hernádez	エルナデス
Hernandes	エルナンデス
Hernández	エルナンデス
Hernando	エルナンド
Herrán	エラン
Herrera	エルレラ
Herrero	エレロ
Hidalgo	イダルゴ
Hierro	イエルロ
Higueras	イゲラス
Hinojosa	イノホサ
Holguín	オルギン
Hoya	オジャ
Huerta	ウエルタ
Hurtado	ウルタード
Ibáñez	イバニェス
Ibarra	イバルラ
Ibarrondo	イバルロンド
Ibarruri	イバルリ
Iglesia	イグレシア
Iglesias	イグレシアス
Ignacio	イグナシオ
Induráin	インドゥライン
Infante	インファンテ
Inglés	イングレース
Iniesta	イニエスタ
Iradier	イラディエル
Iraeta	イラエタ
Iranzo	イランソ
Iriarte	イリアルテ
Iribarne	イリバルネ
Izquierdo	イスキェルド
Jacinto	ハシント
Jaime	ハイメ
Jaimes	ハイメス
Jalón	ハロン
Jalopez	ハロペス
Jambrina	ハンブリナ
Japon	ハポン
Jáquez	ハケス
Jaramillo	ハラミジョ
Jasso	ハッソ
Jiménez	ヒメネス
Jimínez	ヒミネス
Jonás	ホナス
Jordá	ホルダ
Jorge	ホルヘ
Juan	フアン
Juanele	フアネーレ
Juárez	フアレス
Jugo	フーゴ
Jurado	フラド
Laboy	ラボイ
Lafuente	ラフエンテ
Lahulla	ラウージャ（ラウーヤ）
Lara	ララ
Larena	ラレナ
Lario	ラリオ
Larrainzar	ララインサル
Larraya	ララジャ
Larrazabal	ララサバル
Larrocha	ラローチャ
Laureano	ラウレアノ
Laynez	ライネス
Lázaro	ラサロ
Leal	レアル
Lebrón	レブロン
Ledesma	レデスマ
Legaspi	レガスピ
Leiva	レイバ
Lemus	レムス
Lendoiro	レンドイロ
Léon	レオン
León	レオン
Lerma	レルマ
Leyva	レイバ
Lezama	レサマ
Lima	リマ
Limón	リモン
Linares	リナレス
Lira	リラ
Llamas	ジャマス
Llobet	ジョベート
Llompart	ジョンパルト、ヨンパルト
Llorente	ヨレンテ
Lloveras	ジョベラス
Loera	ロエラ
Lomeli	ロメリ
Longoria	ロンゴリア
López	ロペス
Lorca	ロルカ
Lorenzo	ロレンソ
Lovato	ロバト
Loya	ロジャ
Loyola	ロジョラ
Lozada	ロサダ
Lozano	ロサノ
Lucas	ルカス
Lucero	ルセロ
Lucía	ルシア
Lucientes	ルシエンテス
Lucio	ルシオ
Luengo	ルエンゴ
Luevano	ルエバノ
Lugo	ルゴ
Luís	ルイス
Luján	ルハン
Luna	ルナ
Machado	マチャド
Machón	マチョン
Macías	マシアス
Madariaga	マダリアーガ
Madera	マデラ
Madrid	マドリード
Madrigal	マドリガル
Madriguera	マドリゲラ
Maestas	マエスタス
Magaña	マガニャ
Malave	マラベ
Maldonado	マルドナド
Manén	マネン
Manzanares	マンサナレス
Manzanera	マンサネラ
Marchan	マルチャン
Marchena	マルチェナ
Mardones	マルドネス
Mares	マレス
Margallo	マルガージョ
Mari	マリ
Mariano	マリアーノ
Marín	マリーン、マリン
Marjaliza	マルハリサ
Marqués	マルケス
Márquez	マルケス
Marrero	マルレロ
Marroquín	マルロキン
Martí	マルティ
Martín	マルティン
Martínez	マルティネス（マルチネス）
Mascareñas	マスカレニャス
Massana	マッサーナ
Mata	マタ
Mateo	マテオ
Mateos	マテオス
Matías	マティアス
Matos	マトス
Maura	マウラ
Maya	マジャ
Mayorga	マジョルガ
Maza	マサ
Mazquiarán	マスキアラン
Medina	メディナ
Medrano	メドラノ
Mejía	メヒア
Mejías	メヒアス
Meléndez	メレンデス
Melgar	メルガル
Membrado	メンブラード
Mena	メーナ
Menchaca	メンチャカ
Méndez	メンデス
Mendieta	メンディエタ
Mendizábal	メンディサバル
Mendoza	メンドーサ
Menéndez	メネンデス
Menge	メンヘ
Mengíbar	メンヒバル
Meraz	メラス
Mercado	メルカド
Merino	メリノ
Mesa	メサ
Meza	メサ
Milan	ミラン
Milanés	ミラネス
Millan	ミジャン
Miralles	ミラージェス
Miramontes	ミラモンテス
Miranda	ミランダ
Mireles	ミレレス
Miró	ミロ
Mojica	モヒカ
Molina	モリーナ
Mompou	モンポウ
Mondragón	モンドラゴン
Monroy	モンロイ
Montalbán	モンタルバン
Montalvo	モンタルボ
Montaner	モンタネール
Montañez	モンタニェス
Montaño	モンタニョ
Montemayor	モンテマジョル
Montenegro	モンテネグロ
Montes	モンテス
Montesinos	モンテシーノス
Montez	モンテス
Montilla	モンティージャ
Montoya	モントジャ
Mora	モラ
Moral	モラル
Morales	モラレス
Morante	モランテ
Moratinos	モラティーノス
Moreno	モレノ
Morientes	モリエンテス
Morilla	モリジャ
Moro	モロ
Mota	モタ
Movilla	モビージャ
Moya	モジャ
Mudarra	ムダルラ
Múgica	ムーヒカ
Mujica	ムヒカ
Munguía	ムンギア
Munilla	ムニジャ
Munitis	ムニティス
Muñiz	ムニス
Muñoz	ムニョース
Murcia	ムルシア
Murillo	ムリージョ、ムリーリョ
Muro	ムロ
Nadal	ナダル
Nájera	ナヘラ
Naranjo	ナランホ
Narros	ナロス
Narváez	ナルバエス
Nava	ナバ
Navarrete	ナバルレテ
Navarro	ナバルロ
Navas	ナバス
Navascués	ナバスクエス
Navascuéz	ナバスクエス
Nazario	ナサリオ
Negrete	ネグレテ
Negrón	ネグロン
Nemesio	ネメシオ
Nevárez	ネバレス
Nguema	ンゲマ
Nicolás	ニコラス
Nieto	ニエト
Nieves	ニエベス
Niño	ニーニョ
Nissen	ニッセン
Noemí	ノエミ
Nogueira	ノゲイラ
Noriega	ノリエガ
Núñez	ヌニェス
Ocampo	オカンポ
Ocasio	オカシオ
Ochoa	オチョア
Ojeda	オヘダ
Olano	オラーノ
Oliva	オリバ
Olivares	オリバレス
Olivárez	オリバレス
Olivas	オリバス
Olivera	オリベラ
Olivo	オリボ
Olmos	オルモス
Olvera	オルベラ
Ondiviela	オンディビエラ
Ontiveros	オンティベロス
Oquendo	オケンド
Orbaneja	オルバネハ
Ordiales	オルディアレス
Ordóñez	オルドニェス
Orellana	オレジャナ
Orihuela	オリウエラ
Ornelas	オルネラス
Orosco	オロスコ
Oroz	オロス
Orozco	オロスコ
Orta	オルタ
Ortega	オルテガ
Orth	オルト
Ortiz	オルティス
Osorio	オソリオ
Otero	オテロ
Oviés	オビエス
Ozuna	オスナ
Pablo	パブロ
Pablos	パブロス
Pabón	パボン
Pacheco	パチェコ
Paco	パコ
Padilla	パディジャ
Padrón	パドロン
Páez	パエス
Pagan	パガン
Palacios	パラシオス
Palencia	パレンシア
Palma	パルマ
Palomero	パロメロ
Palomino	パロミノ
Palomo	パロモ
Pamplona	パンプロナ
Paniagua	パニアグア
Pantoja	パントハ
Parada	パラダ
Pardo	パルド
Paredes	パレデス
Parejo	パレホ
Parés	パレス
París	パリス
Parra	パルラ
Parramon	パルラモン
Parras	パルラス
Partida	パルティダ
Pascual	パスクアル
Pastor	パストル
Patiño	パティニョ
Paz	パス
Pedraza	ペドラサ
Pedrosa	ペドロサ
Pedroza	ペドロサ
Peiro	ペイロ
Pelaez	ペラエス
Pelayo	ペラジョ
Peña	ペーニャ
Pepita	ペピータ
Perales	ペラレス
Peralta	ペラルタ
Peramos	ペラモス
Perea	ペレア
Pereira	ペレイラ
Peres	ペレス
Pérez	ペレス
Pernía	ペルニーア
Picasso	ピカッソ（ピカソ）
Picazo	ピカソ
Pichardo	ピチャルド
Piña	ピニャ
Pinal	ピナル
Pineda	ピネダ
Pintado	ピンタード
Pintó	ピント
Pinzolas	ピンソラス
Pizarro	ピサロ
Polanco	ポランコ
Polo	ポーロ
Pomés	ポメス
Ponce	ポンセ
Porcel	ポルセル
Porras	ポルラス
Portabella	ポルタベジャ
Portillo	ポルティージョ
Posada	ポサダ
Prada	プラダ
Prado	プラド
Preciado	プレシアド
Prieto	プリエト
Puente	プエンテ
Puga	プガ
Pujol	プホル、プジョル
Pulido	プリド
Puyol	プジョール
Quesada	ケサダ
Quevedo	ケベド
Quezada	ケサダ
Quiñones	キニョネス
Quiñónez	キニョネス
Quintana	キンタナ
Quintanilla	キンタニジャ
Quintero	キンテロ
Quiroga	キローガ
Quiros	キロス
Quiroz	キロス
Rabal	ラバル
Rael	ラエル
Ramírez	ラミレス
Ramón	ラモン
Ramos	ラモス
Rangel	ランヘル
Rascón	ラスコン
Raya	ラジャ
Razo	ラソ
Regalado	レガラド
Reina	レイナ
Rendón	レンドン
Rentería	レンテリア
Requejo	レケホ
Reséndez	レセンデス
Reyes	レジェス
Reyna	レイナ
Reynoso	レイノソ
Riazuelo	リアスエロ
Ribera	リベラ、リベーラ
Rico	リコ
Riera	リエラ
Riesgo	リエスゴ
Rincón	リンコン
Rio	リオ
Riojas	リオハス
Ríos	リオス
Rivadeneyra	リバデネイラ
Rivas	リバス
Rivelles	リベジェス
Rivera	リベラ
Rivero	リベロ
Roa	ロア
Robledo	ロブレド
Robles	ロブレス
Roca	ロカ
Rocha	ロチャ
Rodarte	ロダルテ
Rodes	ロデス
Rodrígez	ロドリヘス
Rodrigo	ロドリーゴ、ロドリゴ
Rodríguez	ロドリゲス
Rodríquez	ロドリケス
Rojas	ロハス
Rojo	ロホ
Roldán	ロルダン
Rolón	ロロン
Romero	ロメロ
