Couvreur	クヴルール
Couzinet	クジネ
Couzinou	クジヌー
Crepel	クレペル
Cresson	クレソン
Croiset	クロワゼ
Croze	クローズ
Curie	キュリー
Cuvier	キュヴィエ
d'Aiguebelle	デグベル
d'Angers	ドンジェ
D'Anglebert	ダングルベール
D'Archiac	ダルシアク
D'Arco	ダルコ
D'Aubigné	ドービニエ
d'Estaing	デスタン
D'Ezamy	デザミー
d'Hérelle	デレル
D'Indy	ダンディ
D'Ivry	ディヴリー
D'Ollone	ドローヌ
D'Orbigny	ドルビニー
d'Urfé	デュルフェ
Dabit	ダビ
Daguerre	ダゲール
Dalayrac	ダレイラク
Dallier	ダリエ
Damase	ダマーズ
Dambier	ダンビエ
Dandelot	ダンドロ
Dandrieu	ダンドリュー
Danton	ダントン
Daquin	ダカン
Darasse	ダラス
Darcey	ダルセー
Dardenne	ダルデンヌ
Dárdespin	ダルデスパン
Darondeau	ダロンド
Darré	ダルレ
Darthou	ダルトゥ
Dartois	ダルトワ
Daubenton	ドーバントン
Daumier	ドーミエ
Dauphin	ドーファン
Dausset	ドーセ
Dautin	ドータン
Dauvergne	ドーヴェルニュ
David	ダヴィド
Davout	ダヴー
Dayan	ダヤン
de Broglie	ド・ブロイ
de Gennes	ド・ジェンヌ
de L'Isle	ド・リール
de Villepin	ド・ヴィルパン
Debary	ドバリー
Debout	ドゥボー
Debray	ドゥブレー
Debré	ドブレ
Debreu	ドブルー
Debussy	ドビュッシー
Decaix	ドゥケ
Decaux	ドコー
Dechamps	ドゥシャン
Dechaud	ドゥショー
Dechy	ドゥシー、ドシー
Décugis	デキュジ
Deffand	ドゥファン
Degas	ドゥギャ（ドガ）
Degletagne	ドゥグルターニュ
Dehesdin	ドゥエスダン
Delacroix	ドゥラクロワ、ドラクロワ
Delage	デラージュ
Delalande	ドゥラランド
Delambre	ドランブル
Delamétherie	ドゥラメトリー
Delannoy	ドゥラノワ
Delanoë	ドラノエ
Delaunay	ドローネー
Delépine	ドゥレピーヌ
Delerue	ドルリュー
Delibes	ドリーブ
Delmas	ドゥルマ
Delon	ドロン
Delorme	ドロルム
Delors	ドロール
Delvincourt	デルヴァンクール
Demougeot	ドゥムジョ
Demy	ドゥミ
Deneuve	ドヌーヴ、ドゥヌーヴ
Denève	ドゥネーヴ
Denier	ドニエ
Denis	ドゥニ
Denize	ドゥニーズ
Depardieu	ドパルデュー
Depardon	ドパルドン
Deplace	ドゥプラス
Depraz	ドゥプラ
Deprez	ドゥプレ
Derain	ドラン
Deray	ドレー
Derrida	デリダ
Desailly	デサイー
Desargues	デザルグ
Desbats	デバ
Desbordes	デボルド
Descartes	デカルト
Descaves	デカーヴ
Deschamps	デシャン
Deschanel	デシャネル
Descharmes	デシャルム
Desforge	デフォルジュ
Desforges	デフォルジュ
Désir	デジール
Deslongchamps	デロンシャン
Deslot	デロ
Desmarets	デマレ
Desmoulins	デムラン
Desnos	デスノス
Despeaux	デポー
Despiau	デスピオ
Desthieux	デスチュー
Destouches	デトゥーシュ
Devauchelle	ドゥヴォシェル
Devaux	ドヴォー
Devienne	ドヴィエンヌ
Devos	ドヴォス
Devouassoux	ドゥーヴアスー
Devoyon	ドヴォワヨン
Diderot	ディドロ
Didier	ディディエ
Dieudonné	デュドネ
Dieulafoy	デュラフォア
Dieupart	デュパール
Dintrich	ダントリク
Dior	ディオール
Djian	ジアン
Donatien	ドナシアン
Dondeyne	ドンディーヌ
Donon	ドノン
Dopffer	ドプフェール
Doré	ドレ
Dorin	ドラン
Dorléac	ドルレアク
Dosse	ドッス
Doucet	ドゥーセ
Doumer	ドゥメール
Doumergue	ドゥメルグ
Douroux	ドゥルー
Doursoux	ドゥルスー
Douste	ドゥスト
Douvillé	ドゥヴィレ
Doyen	ドワイヤン
Drapeau	ドラポー
Drolet	ドロレ
Druille	ドルイユ
du Bellay	デュ・ベレー
du Bois	デュ・ボワ、デュ・ボア
du Caurroy	デュ・コロワ
du Guesclin	デュ・ゲクラン
Dubet	デュベ
Dubois	デュボワ、デュボア
Dubuffet	デュビュッフェ
Dubuis	デュビュイ
Duby	デュビ
