Abate	アバーテ
Bucciarelli	ブッチャレッリ
Buccilli	ブッチッーリ
Bugatti	ブガッティ
Buitoni	ブイトーニ
Buonomo	ブオノーモ
Buozzi	ブオッツィ
Buratti	ブラッティ
Burchiellaro	ブルキエッラーロ
Burco	ブルコ
Buriani	ブリアーニ
Burzio	ブルツィオ
Busoni	ブゾーニ
Bussotti	ブッソッティ（ブソッティ）
Buticchi	ブティッキ
Cabrini	カブリーニ
Cacace	カカーチェ
Caccini	カッチーニ
Cacioppo	カチョッポ
Cafaro	カファロ
Caggiano	カッジャーノ
Cagliari	カッリャリ
Cagliero	カッリェーロ
Cagnoni	カニョーニ
Caianiello	カイアニエッロ
Calabi	カラビ
Calabrese	カラブレーゼ
Calace	カラーチェ
Calamai	カラマーイ
Calandra	カランドラ
Calandrelli	カランドレッリ
Calcaterra	カルカテルラ
Caldara	カルダーラ
Calderara	カルデラーラ
Calderone	カルデローネ
Calderoni	カルデローニ
Calenda	カレンダ
Caliri	カリーリ
Calissano	カリッサーノ
Callà	カッラ
Calloni	カッローニ
Calogero	カロージェロ
Calori	カローリ
Caltabiano	カルタビアーノ
Calvi	カルヴィ
Calvino	カルヴィーノ
Calza	カルツァ
Calzolari	カルツォラーリ
Cambianica	カンビアニカ
Cambiaso	カンビアーゾ
Cambini	カンビーニ
Camerino	カメリーノ
Camerlengo	カメルレンゴ
Camicia	カミーチャ
Camillo	カミッロ
Camocardi	カモカルディ
Camoranesi	カモラネージ
Campagnano	カンパニャーノ
Campagnola	カンパニョーラ
Campanari	カンパナーリ
Campanella	カンパネッラ
Campani	カンパーニ
Campisi	カンピージ
Campora	カンポーラ
Campra	カンプラ
Canali	カナーリ
Cancellieri	カンチェッリエーリ
Candeloro	カンデローロ
Candiani	カンディアーニ
Canetti	カネッティ
Caniglia	カニッリャ
Canini	カニーニ
Cannavacciuolo	カンナヴァッチュオロ
Cannavaro	カンナヴァーロ
Cannizzaro	カンニッツァーロ
Canova	カノーヴァ
Cantarella	カンタレッラ
