Abate	アバーテ
Petrella	ペトレッラ、ペトレルラ
Petri	ペトリ
Petris	ペトリス
Petruccelli	ペトルチェッリ
Petrucci	ペトルッチ
Petruzzi	ペトルッツィ
Pezzetti	ペッツェッティ
Pezzoli	ペッツォーリ
Pezzolla	ペッツォーラ
Piaggio	ピアッジョ
Piana	ピアーナ
Piangerelli	ピアンジェレッリ
Piazza	ピアッツァ
Piazzera	ピアツェラ
Piazzi	ピアッツィ
Piazzola	ピアッツォーラ
Piazzolla	ピアッツォッラ
Piccaluga	ピッカルーガ
Piccardi	ピッカルディ
Picchi	ピッキ
Piccinini	ピッチニーニ
Piccinni	ピッチンニ
Piccioli	ピッチョーリ
Picco	ピッコ
Piccoli	ピッコリ
Piccolo	ピッコロ
Piccolomini	ピッコローミニ
Picotto	ピコット
Pierantoni	ピエラントーニ
Pieri	ピエリ
Pierini	ピエリーニ
Pietta	ピエッタ
Pignata	ピニャータ
Pigolotti	ピゴロッティ
Pilati	ピラーティ
Pinardi	ピナルディ
Pini	ピーニ
Pinna	ピンナ
Pinotti	ピノッティ
Pinsuti	ピンスーティ
Pinto	ピント
Pinza	ピンツァ
Pinzi	ピンツィ
Piovaccari	ピオヴァッカーリ
Piovani	ピオヴァーニ
Pippi	ピッピ
Pirandello	ピランデッロ
Pirazzini	ピラッツィーニ
Pirlo	ピールロ
Pirovano	ピローヴァノ
Pisano	ピザーノ
Pisanu	ピザーヌ
Piscopo	ピスコポ
Pistarino	ピスタリーノ
Pistelli	ピステッリ
Pistocchi	ピストッキ
Pistorello	ピストレッロ
Pitoni	ピトーニ
Pittaluga	ピッタルーガ
Pittin	ピッティン
Pivano	ピヴァーノ
Pivetti	ピヴェッティ
Pizzardi	ピッツァルディ
Pizzetti	ピッツェッティ
Pizzi	ピッツィ
Pizzo	ピッツォ
Placido	プラチド
Pobbe	ポッベ
Poccetti	ポッチェッティ
Poggi	ポッジ
Poggioli	ポッジョーリ
Pola	ポーラ
Polacco	ポラッコ
Polano	ポラーノ
Poletti	ポレッティ
Poli	ポーリ
Polidoro	ポリドーロ
Polini	ポリーニ
Pollarolo	ポラローロ
Polli	ポッリ
Pollini	ポリーニ
Pollone	ポッローネ
Polo	ポーロ
Polverosi	ポルヴェロージ
Pompilio	ポンピーリオ、ポンピリオ
Pompucci	ポンプッチ
Ponchielli	ポンキエッリ
Ponti	ポンティ
Ponza	ポンツァ
Porcari	ポルカーリ
Porpora	ポルポラ
Porrino	ポリーノ
Porta	ポールタ
Portaluri	ポルタルーリ
Porzano	ポルツァーノ
Postumo	ポストゥモ
Potente	ポテンテ
Potenti	ポテンティ
Pozzi	ポッツィ
Pozzo	ポッツォ
Pozzoli	ポッツォーリ
Pradella	プラデッラ
Prandelli	プランデッリ
Pratella	プラテッラ
Prati	プラーティ
Predieri	プレディエーリ
Presti	プレスティ
Preti	プレーティ
Principini	プリンチピーニ
Procaccini	プロカッチーニ
Prodi	プローディ
Proietti	プロイェッティ
Prosperi	プロースペリ
Protti	プロッティ
Provenzale	プロヴェンツァーレ
Pruzzo	プルッツォ
Pucci	プッチ
Pucciarelli	プッチャレッリ
Puccini	プッチーニ
Pugliese	プッリェーゼ
Puglisi	プリージ
Pugnani	プニャーニ
Pugno	プーニョ
Pulli	プッリ
Pulvirenti	プルヴィレンティ
Puma	プーマ
Quagliarella	クヮッリャレッラ
Quagliato	クヮリヤート
Quaranta	クヮランタ
Quarta	クヮールタ
Quartullo	クヮルトゥッロ
Quasimodo	クヮジモド
Radicati	ラディカーティ
Radice	ラディーチェ
Rafanelli	ラファネッリ
Raffanelli	ラッファネッリ
Raggi	ラッジ
Ragno	ラーニョ
Ragona	ラゴーナ
Raimondi	ライモンディ
Rainaldi	ライナルディ
Raineri	ライネーリ
Ramella	ラメッラ
Rampini	ランピーニ
Randaccio	ランダッチョ
Randi	ランディ
Ranieri	ラニエーリ
Ranocchia	ラノッキア、ラノッキャ
Rapalo	ラパロ
Rapino	ラピーノ
Rasa	ラーザ
Rattalino	ラッタリーノ
Ratti	ラッティ
Rauzzini	ラウッツィーニ
Ravaglia	ラヴァーリャ
Ravanelli	ラヴァネッリ
Ravazzi	ラヴァッツィ
Ravegnini	ラヴェニーニ
Ravelli	ラヴェッリ
Ravinale	ラヴィナーレ
Razzoli	ラッツォリ
Rebecchi	レベッキ
Rebecchini	レベッキーニ
Rebora	レボラ
Redi	レディ
Regge	レッジェ
Reggi	レッジ
Regolini	レゴリーニ
Reguzzoni	レグッツォーニ
Rendano	レンダーノ
Reni	レーニ
Renzi	レンツィ
Reschiglian	レスキーリャン
Respighi	レスピーギ
Restelli	レステッリ
Ribetti	リベッティ
Riboli	リボリ
Ricagno	リカーニョ
Riccardi	リッカルディ
Ricci	リッチ
Ricciardi	リッチャルディ
Ricciarelli	リッチャレッリ
Ricco	リッコ
Ricotti	リコッティ
Rienzo	リエンツォ
Rigacci	リガッチ
Riggieri	リッジェーリ
Righelli	リゲッリ
Righetti	リゲッティ
Righini	リギーニ
Rigoni	リゴーニ
Rigotti	リゴッティ
Rigutto	リグット
Rimini	リミニ
Rimondi	リモンディ
Rinaldi	リナルディ
Rinaudo	リナウド
Rioldi	リオルディ
Ripamonti	リパモンティ
Risaliti	リサリーティ
Risi	リージ、リーシ
Riso	リーゾ
Riva	リーヴァ
Rivalta	リヴァルタ
Rivelli	リヴェッリ
Rivolta	リヴォルタ
Rizzatto	リッツァット
Rizzi	リッツィ
Rizzieri	リッツィエーリ
Rizzo	リッツォ
Rizzoli	リッツォーリ
Robbiati	ロッビアーティ
Roberti	ロベルティ
Rocca	ロッカ
Rocchi	ロッキ
Rocco	ロッコ
Rodigari	ロディガーリ
Roggero	ロッジェロ
Rolandi	ロランディ
Rollero	ロレッロ
Rolli	ロッリ
Romagnoli	ロマニョーリ
Romanelli	ロマネッリ
Romani	ロマーニ
Romano	ロマーノ
Romeo	ロメーオ
Romitelli	ロミテッリ
Ronchi	ロンキ
Rondoni	ロンドーニ
Rontani	ロンターニ
Rore	ローレ
Rosa	ローザ
Rosada	ロザーダ
Rosati	ロザーティ
Rosato	ロザート
Rosi	ロージ、ローシ
Rossellini	ロッセリーニ
Rossetti	ロッセッティ
Rossetto	ロッセット
Rossi	ロッシ
Rossini	ロッシーニ
Rossitto	ロッシット
Rosso	ロッソ
Rota	ロータ
Rotolo	ロトロ
Rovatti	ロヴァッティ
Rovere	ロヴェーレ
Rovighi	ロヴィーギ
Ruberti	ルベルティ
Rubini	ルビーニ
Rucellai	ルチェラーイ
Ruffini	ルッフィーニ
Ruggi	ルッジ
Ruggieri	ルッジェーリ
Ruggiero	ルッジェーロ
Rughetti	ルゲッティ
Ruisi	ルイージ
Rulli	ルッリ
Rullo	ルッロ
Ruopolo	ルオポロ
Russo	ルッソ
Russolo	ルッソロ
Rustico	ルスティコ
Rusticucci	ルスティクッチ
Rutini	ルティーニ
Sabani	サバーニ
Sabatini	サバティーニ
Saccheri	サッケーリ
Sacchetti	サッケッティ
Sacchetto	サッケット
Sacchi	サッキ
Sacchini	サッキーニ
Sacco	サッコ
Saccomani	サッコマーニ
Sacrati	サクラーティ
Sadero	サデーロ
Sala	サーラ
Salati	サラーティ
Saldari	サルダーリ
Salerno	サレルノ
Salieri	サリエリ
Salomone	サロモーネ
Salvadori	サルヴァドーリ
Salvarezza	サルヴァレッツァ
Salvatini	サルヴァティーニ
Salvatori	サルヴァトーリ
Salvi	サルヴィ
Salvini	サルヴィーニ
Salvioni	サルヴィオーニ
Salvo	サルヴォ
Sammarchi	サンマルキ
Sammarelli	サンマレッリ
Sammartini	サンマルティーニ
Samorì	サモリ
Sances	サンチェス
Sanchini	サンキーニ
Sandrelli	サンドレッリ
Sanfilippo	サンフィリッポ
Sanguinetti	サングイネッティ
Sanna	サンナ
Santamaria	サンタマリア
Santangelo	サンタンジェロ
Santarelli	サンタレッリ
Sante	サンテ
Santi	サンティ
Santini	サンティーニ
Santisi	サンティージ
Santo	サント
Santoliquido	サントリクィド
Santoro	サントーロ
Santunione	サントゥニオーネ
Sanzio	サンツィオ
Saraceni	サラチェーニ
Sarcoli	サルコリ
Sarini	サリーニ
Sarro	サッロ
Sartori	サルトーリ
Sartorio	サルトリオ
Sassi	サッシ
Sasso	サッソ
Saturno	サトゥルノ
Savarese	サヴァレーゼ
Savelli	サヴェッリ
Savini	サヴィーニ
Savino	サヴィーノ
Savonarola	サヴォナローラ
Sbarbaro	ズバールバロ
Sbrighi	ズブリーギ
Scabbia	スカッビア
Scacchi	スカッキ
Scacciati	スカッチャーティ
Scaglia	スカッリャ
Scaglietti	スカリエッティ
Scaglione	スカリオーネ
Scalabrini	スカラブリーニ
Scalchi	スカルキ
Scalfaro	スカルファロ
Scalfarotto	スカルファロット
Scandariato	スカンダリアート
Scandiani	スカンディアーニ
Scanzi	スカンツィ
Scanzio	スカンツィオ
Scaratti	スカラッティ
Scarfiotti	スカルフィオッティ
Scarlatti	スカルラッティ
Scarnati	スカルナーティ
Scarpa	スカルパ
Scarpini	スカルピーニ
Scattola	スカットーラ
Scavino	スカヴィーノ
Scavolini	スカヴォリーニ
Scervino	シェルヴィーノ
Scevola	シェーヴォラ
Schiaparelli	スキャパレッリ
Schiavazzi	スキャヴァッツィ
Schiavi	スキャーヴィ
Schiavone	スキャヴォーネ
Schillaci	スキッラチ
Schioppa	スキオッパ
Schipa	スキーパ
Schira	スキーラ
Sciacca	シャーッカ
Sciaccaluga	シャッカルーガ
Scianna	シャンナ
Sciarrino	シャッリーノ
Scionti	ションティ
Scirea	シレア
Sciutti	シュッティ
Scoccimarro	スコッチマーッロ
Scognamiglio	スコニャミッリョ
Scontrino	スコントリーノ
Scotellaro	スコテッラーロ
Scotti	スコッティ
Scotto	スコット
Scozzoli	スコッツォーリ
Scuderi	スクデリ
Sebastiani	セバスティアーニ
Secchi	セッキ
Secci	セッチ
Segantini	セガンティーニ
Segni	セーニ
Selva	セルヴァ
Seminati	セミナーティ
Senise	セニーゼ
Senna	センナ
Serafini	セラフィーニ
Serao	セラオ
Serato	セラート
Serena	セレーナ
Sereni	セレーニ
Sergi	セルジ
Serio	セーリオ
Sermonti	セルモンティ
Serpelloni	セルペッローニ
Serra	セッラ、セールラ
Serracchiani	セルラッキャーニ
Serrao	セルラオ
Serrati	セラーティ
Setaccioli	セタッチョーリ
Settembrini	セッテンブリーニ
Setti	セッティ
Severini	セヴェリーニ
Severino	セヴェリーノ
Sgambati	ズガンバーティ
Sguario	ズグヮーリオ
Siano	シアーノ
Sica	シーカ
Siepi	シエピ
Siffredi	シッフレーディ
Sighele	シーゲレ
Signorelli	シニョレッリ
Signori	シニョーリ
Siliato	シリアート
Silveri	シルヴェーリ
Silvestrelli	シルヴェストレッリ
Silvestri	シルヴェストリ
Simionato	シミオナート
Simona	シモーナ
Simoncelli	シモンチェッリ
Simoncini	シモンチーニ
Simone	シモーネ
Simonetti	シモネッティ
Simonetto	シモネット
Simoni	シモーニ
Sinnone	シノーネ
Sipari	シパーリ
Sirani	シラーニ
Sivori	シヴォリ
Smareglia	ズマレーリャ
Soave	ソアーヴェ
Socci	ソッチ
Sodano	ソダーノ
Soderini	ソデリーニ
Soldano	ソルダーノ
Soldini	ソルディーニ
Solenghi	ソレンギ
Sollecito	ソレチト
Sollima	ソッリーマ
Solmi	ソルミ
Somigli	ソミーリ
Sommella	ソンメッラ
Sonnino	ソンニーノ
Soprani	ソプラーニ
Sordello	ソルデッロ
Soriano	ソリアーノ
Sorrentino	ソルレンティーノ
Sorvino	ソルヴィーノ
Sospiri	ソスピーリ
Spada	スパーダ
Spadaccini	スパダッチーニ
Spadini	スパディーニ
Spallarossa	スパッラロッサ
Spano	スパーノ
Spartaco	スパルタコ
Sperti	スペルティ
Spetrino	スペトリーノ
Spina	スピーナ
Spinazzi	スピナッツィ
Spinelli	スピネッリ
Spinesi	スピネージ
Spizzichino	スピッツィキーノ
Spoltore	スポルトーレ
Spontini	スポンティーニ
Sposini	スポジーニ
Squarcialupi	スクヮルチャルーピ
Squizzato	スクウィッツァート
Staccioli	スタッチョーリ
Staino	スタイノ
Staropoli	スタローポリ
Stazio	スタツィオ
Stecchetti	ステッケッティ
Stecchi	ステッキ
Stefanelli	ステファネッリ
Stefani	ステファーニ
Stella	ステッラ
Stendardi	ステンダルディ
Stignani	スティニャーニ
Stivaletti	スティヴァレッティ
Stoppino	ストッピーノ
Storani	ストラーニ
Storchio	ストルキオ
Strabioli	ストラビオーリ
Stracquadanio	ストラックヮダーニオ
Stradella	ストラデッラ、ストラデルラ
Stradivari	ストラディヴァーリ
Strepponi	ストレッポーニ
Striggio	ストリッジョ
Strina	ストリーナ
Strozzi	ストロッツィ
Stucchi	ストゥッキ
Superti	スペルティ
Surini	スリーニ
Tacchinardi	タッキナルディ
Tacchini	タッキーニ
Tacconi	タッコーニ
Taddei	タッデーイ
Taddia	タッディア
Tadeo	タデオ
Tadolini	タドリーニ
Tafuri	タフーリ
Tagliabue	タリアブーエ、タッリャブーエ
Tagliaferri	タッリャフェッリ
Taglialegne	タッリャレーニェ
Tagliapietra	タッリャピエトラ
Tagliavini	タッリャヴィーニ
Talamanca	タラマンカ
Talarico	タラリーコ
Taliani	タリアーニ
Tamagno	タマーニョ
Tamaro	タマロ
Tambini	タンビーニ
Tancredi	タンクレディ
Tani	ターニ
Tanucci	タヌッチ
Tarantino	タランティーノ
Tarchi	タルキ
Tardelli	タルデッリ
Tarenghi	タレンギ
Tarini	タリーニ
Tarozzi	タロッツィ
Tarquini	タルクィーニ
Tarquinio	タルクウィーニオ
Tartaglia	タルターリャ
Tartini	タルティーニ
Tasca	タスカ
Tassetti	タッセッティ
Tassi	タッシ
Tassinari	タッシナーリ
Tasso	タッソ
Tassotti	タッソッティ
Tavano	タヴァーノ
Taverna	タヴェルナ
Taviani	タヴィアーニ
Tavolazzi	タヴォラッツィ
Tazio	タツィオ、ターツィオ
Tebaldi	テバルディ
Tedeschi	テデスキ
Tedesco	テデスコ
Telesio	テレジオ
Teocoli	テオコリ
Termini	テルミニ
Terranova	テッラノーヴァ
Terzani	テルツァーニ
Tescari	テスカーリ
Tessari	テッサーリ
Tessarini	テッサリーニ
Testa	テスタ
Testino	テスティーノ
Tetrazzini	テトラッツィーニ（テトラツィーニ）
Tibaldi	ティバルディ
Ticozzi	ティコッツィ
Tiepolo	ティエポロ
Tilgher	ティルゲル
Timperi	ティンペーリ
Tipo	ティーポ
Tiraboschi	ティラボスキ
Tiranti	ティランティ
Tirone	ティローネ
Tisci	ティッシ
Titti	ティッティ
Tiziano	ティツィアーノ
Toccafondi	トッカフォンディ
Tocci	トッチ
Todeschini	トデスキーニ
Tofano	トファーノ
Toffolo	トッフォロ
Togliani	トリヤーニ
Togliatti	トリヤッティ
Tognoli	トニョーリ
Tomasi	トマージ
Tomei	トメーイ
Tommasi	トンマージ
Tommasini	トンマジーニ
Tonelli	トネッリ
Toni	トーニ
Tonolo	トーノロ
Tononi	トノーニ
Torelli	トレッリ
Torri	トッリ
Torriani	トッリアーニ、トルリアーニ
Torricelli	トルリチェッリ
Torricini	トッリチーニ
Torrini	トルリーニ
Tosato	トザート
Tosatti	トザッティ
Toscani	トスカーニ
Toscanini	トスカニーニ
Toselli	トゼッリ
Tosi	トージ、トーシ
Tosto	トスト
Totti	トッティ
Tozzi	トッツィ
Trabaci	トラバーチ
Tradati	トラダーティ
Traetta	トラエッタ
Tranquillo	トランクウィッロ
Trapani	トラパーニ
Trasselli	トラッセッリ
Travaglio	トラヴァッリョ
Trecate	トレカーテ
Treccani	トレッカーニ
Tremonti	トレモンティ
Trento	トレント
Tretti	トレッティ
Tribuzio	トリブーツィオ
Tricella	トリチェッラ
Trieste	トリエステ
Trionfera	トリオンフェラ
Tristano	トリスターノ
Tritto	トリット
Troisi	トロイージ
Tromboncino	トロンボンチーノ
Trotta	トロッタ
Trovato	トロヴァート
Trovesi	トロヴェージ
Trussardi	トルッサルディ
Truzzi	トルッツィ
Tucci	トゥッチ
Tullio	トゥーリオ
Turati	トゥラーティ
Turilli	トゥリッリ
Turina	トゥリーナ
Turrini	トゥッリーニ
Uberti	ウベルティ
Uccello	ウッチェッロ
Ungaro	ウンガロ
Urbani	ウルバーニ
Urbano	ウルバーノ
Urbini	ウルビーニ
Usiglio	ウジッリョ
Uttini	ウッティーニ
Uzielli	ウジエッリ
Vacca	ヴァッカ
Vaccai	ヴァッカイ
Vaccarezza	ヴァッカレッツァ
Vaccari	ヴァッカーリ
Vacchi	ヴァッキ
Vaghi	ヴァーギ
Vagnoni	ヴァニョーニ
Vailati	ヴァイラーティ
Valabrega	ヴァラブレーガ
Valarioti	ヴァラリオーティ
Valcepina	ヴァルチェピーナ
Valente	ヴァレンテ
Valenti	ヴァレンティ
Valentini	ヴァレンティーニ
Valentino	ヴァレンティーノ
Valenza	ヴァレンツァ
Valenzi	ヴァレンツィ
Valeri	ヴァレーリ
Valeriano	ヴァレリアーノ
Valiani	ヴァリアーニ
Valignano	ヴァリニャーノ
Valila	ヴァリラ
Valle	ヴァッレ
Valletti	ヴァッレッティ
Valli	ヴァッリ
Vallino	ヴァッリーノ
Valobra	ヴァロブラ
Valori	ヴァローリ
Valsecchi	ヴァルセッキ
Vanelli	ヴァネッリ
Vanni	ヴァンニ
Vanoni	ヴァノーニ
Vanzo	ヴァンツォ
Varese	ヴァレーゼ
Varini	ヴァリーニ
Varrone	ヴァッローネ
Vasari	ヴァザーリ
Vassalli	ヴァッサーリ
Vassallo	ヴァッサッロ
Vatirana	ヴァティラーナ
Vattimo	ヴァッティモ
Vavassori	ヴァヴァッソーリ
Vecchi	ヴェッキ
Vecchio	ヴェッキオ
Vecellio	ヴェチェッリオ
Vella	ヴェッラ
Vena	ヴェーナ
Vendetta	ヴェンデッタ
Venditti	ヴェンディッティ
Veneziani	ヴェネツィアーニ
Ventimiglia	ヴェンティミーリヤ
Vento	ヴェント
Ventola	ヴェントーラ
Ventura	ヴェントゥーラ
Venturini	ヴェントゥリーニ
Veracini	ヴェラチーニ
Verchi	ヴェルキ
Verdi	ヴェルディ
Verdone	ヴェルドーネ
Veretti	ヴェレッティ
Vergani	ヴェルガーニ
Vergassola	ヴェルガッソラ
Vernizzi	ヴェルニッツィ
Veronese	ヴェロネーゼ
Veronesi	ヴェロネージ、ヴェロネーシ
Verri	ヴェッリ、ヴェルリ
Versace	ヴェルサーチェ
Vesentini	ヴェゼンティーニ
Vespa	ヴェースパ
Vezio	ヴェッツィオ
Viadana	ヴィアダーナ
Vialli	ヴィアッリ
Vianello	ヴィアネッロ
Vicari	ヴィカーリ
Vicario	ヴィカーリオ
Vidusso	ヴィドゥッソ
Vieri	ヴィエリ
Vigano	ヴィガーノ
Viganò	ヴィガノ、ヴィガノー
Vighi	ヴィーギ
Vigiani	ヴィジャーニ
Viglione	ヴィッリョーネ
Vignanelli	ヴィニャネッリ
Vignati	ヴィニャーティ
Vignoni	ヴィニョーニ
Villa	ヴィッラ
Villani	ヴィッラーニ
Villoresi	ヴィッロレージ
Vincenti	ヴィンチェンティ
Vinci	ヴィンチ
Vincientino	ヴィンチェンティーノ
Viola	ヴィオーラ
Violano	ヴィオラーノ
Viotti	ヴィオッティ
Viozzi	ヴィオッツィ
Virga	ヴィルガ
Virgilio	ヴィルジーリオ、ヴィルジリオ
Viscardi	ヴィスカルディ
Visconti	ヴィスコンティ
Visentini	ヴィゼンティーニ
Vitale	ヴィターレ
Vitali	ヴィターリ
Vitaliano	ヴィタリアーノ
Viti	ヴィーティ
Vittadini	ヴィッタディーニ
Vivaldi	ヴィヴァルディ
Vivarini	ヴィヴァリーニ
Vivenzi	ヴィヴェンツィ
Viviani	ヴィヴィアーニ
Volpi	ヴォルピ
Volta	ヴォルタ
Volterra	ヴォルテッラ
Zaccarini	ザッカリーニ
Zaccheroni	ザッケローニ
Zagnoni	ザニョーニ
Zambelli	ザンベッリ
Zamboni	ザンボーニ
Zambrotta	ザンブロッタ
Zampaglione	ザンパッリョーネ
Zampedri	ザンペドリ
Zampieri	ザンピエーリ
Zanaboni	ザナボーニ
Zanantoni	ザナントーニ
Zanardi	ザナルディ
Zanasi	ザナージ
Zandonai	ザンドナーイ
Zanella	ザネッラ
Zanetti	ザネッティ
Zani	ザーニ
Zaninello	ザニネッロ
Zanini	ザニーニ
Zanni	ザンニ
Zannini	ザンニーニ
Zanolli	ザノッリ
Zanotti	ザノッティ
Zantedeschi	ザンテデスキ
Zanuso	ザヌーゾ
Zapparoli	ザッパローリ
Zarantonello	ザラントネッロ
Zavattini	ザヴァッティーニ
Zecchillo	ゼッキッロ
Zeffirelli	ゼフィレッリ
Zegna	ゼーニャ
Zelati	ゼラーティ
Zenatti	ゼナッティ
Zenoni	ゼノーニ
Zeppi	ゼッピ
Zerbini	ゼルビーニ
Zerola	ゼローラ
Zichichi	ジキーキ
Ziino	ジーノ
Zilio	ジーリオ、ジリオ
Zilliani	ジリアーニ
Zinetti	ジネッティ
Zingarelli	ジンガレッリ
Zingaretti	ジンガレッティ
Zirpoli	ジルポリ
Zola	ゾーラ
Zoppo	ゾッポ
Zorgniotti	ゾルニオッティ
Zorzi	ゾルズィ
Zuccarini	ズッカリーニ
Zuccaro	ズッカロ
Zucchelli	ズッケッリ、ズッケーリ
Zucchi	ズッキ
Zucconi	ズッコーニ
