Landolfo	ランドルフォ
Lanfranco	ランフランコ
Lauro	ラウロ
Lazzaro	ラッザロ
Leandro	レアンドロ
Lelio	レリオ、レーリオ
Leonardo	レオナルド
Leone	レオネ、レオーネ
Leonida	レオニダ
Leonzio	レオンツィオ
Leopoldo	レオポルド
Letterio	レッテリオ、レッテーリオ
Liberato	リベラート
Liberatore	リベラトーレ
Liberio	リベリオ
Liberto	リベルト
Lidio	リディオ
Lieto	リエト
Lino	リーノ
Lionello	リオネッロ
Lisandro	リザンドロ
Livio	リヴィオ、リーヴィオ
Lodovico	ロドヴィーコ
Lorenzo	ロレンツォ
Lotario	ロターリオ
Luca	ルカ
Luchino	ルキーノ
Luciano	ルチャーノ
Lucio	ルーチョ
Lucrezio	ルクレツィオ
Ludovico	ルドヴィーコ
Luigi	ルイージ
Macario	マカーリオ
Maffeo	マッフェオ
Manfredo	マンフレード
Manlio	マンリオ
Manuel	マヌエル
Manuele	マヌエレ、マヌエーレ
Marcantonio	マルカントーニオ
Marcellino	マルチェッリーノ
Marcello	マルチェッロ（マルチェロ）
Marciano	マルチャーノ
Marco	マルコ
Mariano	マリアーノ
Marino	マリーノ
Mario	マリオ
Martino	マルティーノ
Marzio	マルツィオ
Massimiliano	マッシミリアーノ
Massimo	マッシモ
Matteo	マッテオ
Mattia	マッティア
Maurilio	マウリリオ、マウリーリオ
Maurizio	マウリツィオ
Mauro	マウロ
Medardo	メダルド
Melchiorre	メルキオッレ
Mercurio	メルクリオ
Michelangelo	ミケランジェロ
Michele	ミケーレ
Michelino	ミケリーノ
Milo	ミロ
Mirco	ミルコ
Mirko	ミルコ
Modesto	モデスト
Moreno	モレノ、モレーノ
Muzio	ムツィオ、ムーツィオ
Narciso	ナルチーゾ
Nazario	ナザリオ、ナザーリオ
Nereo	ネレーオ
Nerio	ネリオ、ネーリオ
Nero	ネーロ
Nestore	ネストレ
Niccolò	ニッコロ、ニコロ
Nico	ニーコ
Nicodemo	ニコデモ、ニコデーモ
Nicola	ニコラ、ニコーラ
Nicolò	ニコロ
Nino	ニーノ
Norberto	ノルベルト
Nunzio	ヌンツィオ
Olimpio	オリンピオ
Olindo	オリンド
Oliviero	オリヴィエーロ
Onesto	オネスト
Onofrio	オノフリオ
Orazio	オラツィオ、オラーツィオ
Oreste	オレステ
Orfeo	オルフェオ、オルフェーオ
Orlando	オルランド
Oscar	オスカル
Osvaldo	オズヴァルド
Ottaviano	オッタヴィアーノ
Ottavio	オッターヴィオ
Ottorino	オットリーノ
Ovidio	オヴィディオ
Palmiro	パルミロ、パルミーロ
Pancrazio	パンクラツィオ、パンクラーツィオ
Pantaleone	パンタレオーネ
Paolino	パオリーノ
Paolo	パオロ
Pasquale	パスクヮーレ
Patrizio	パトリツィオ
Pellegrino	ペッレグリーノ
Peppino	ペッピーノ
Pierangelo	ピエランジェロ
Piergiacomo	ピエルジャコモ
Pierluigi	ピエルルイジ、ピエルルイージ
Piermarco	ピエルマルコ
Piero	ピエロ
Pierpaolo	ピエルパオロ
Pietro	ピエトロ
Pino	ピーノ
Pio	ピオ、ピーオ
Pippo	ピッポ
Placido	プラチド
Plinio	プリーニオ
Pompeo	ポンペオ、ポンペーオ
Ponzio	ポンツィオ
Porfirio	ポルフィリオ、ポルフィーリオ
Primo	プリーモ
Prospero	プロスペロ
Publio	プブリオ
Quirino	クウィリーノ
Raffaele	ラファエーレ、ラッファエーレ
Raffaello	ラファエロ、ラッファエッロ
Raimondo	ライモンド
Raniero	ラニエロ
Raul	ラウル
Remigio	レミージョ
Remo	レーモ
Renato	レナート
Renzo	レンツォ、レンゾ
Riccardo	リッカルド
Rico	リコ
Rinaldo	リナルド
Roberto	ロベルト
Rocco	ロッコ
Rodolfo	ロドルフォ
Rodrigo	ロドリーゴ
Rolando	ロランド
Romano	ロマーノ
Romeo	ロメオ
Romolo	ロモロ
Rosario	ロザーリオ
Ruben	ルーベン
Rufino	ルフィーノ
Ruggero	ルッジェーロ
Ruggiero	ルッジエロ
Sabino	サビーノ
Saladino	サラディーノ
Salomone	サロモネ、サロモーネ
