Abenius	アベニウス
Håfström	ホーフストレーム
Hagberg	ハグバリ
Håge	ホーゲ
Hagegård	ハーゲゴード
Hagelin	ハゲリーン
Hägg	ヘッグ
Hägglund	ヘッグルンド
Häggström	ヘッグストレーム
Haglund	ハーグルンド
Hagström	ハグストレーム
Hahn	ハーン
Håkansson	ホーカンソン
Halfvarsson	ハルフヴァション
Hållberg	ホールバリ
Hallén	ハリアン
Hällgren	ヘルグレーン
Hallhagen	ハルハーゲン
Hallin	ハリーン
Hallnäs	ハルネス
Hallonsten	ハロンステーン
Hallström	ハルストレーム
Hambraeus	ハンブレーウス
Hammarberg	ハンマルバリ
Hammargren	ハンマルグレーン
Hammarlund	ハンマルルンド
Hammarskjöld	ハマーフェルド
Hammarstrand	ハンマーシュトランド
Hammarström	ハンマーシュトレーム
Hammerth	ハンメルト
Hamrin	ハムリーン
Hanell	ハネル
Hansen	ハンセン
Hansson	ハンソン
Hård	ホード
Hartelius	ハルテリウス
Hasselberg	ハッセルバリ
Hasselblad	ハッセルブラード
Hasslo	ハスロ
Hazelius	ハセリウス
Hedar	ヘダー
Hedberg	ヘードバリ
Hedblom	ヘドブロム
Hedborg	ヘドボリ
Hedén	ヘデーン
Hedin	ヘディーン
Hedlund	ヘドルンド
Hedman	ヘドマン
Hedström	ヘードストレーム、ヘッドストレーム
Hedwall	ヘドヴァル
Heidenstam	ヘイデンスタム
Helenius	ヘレニウス
Helgesson	ヘルゲソン
Hellberg	ヘルバリ
Hellkvist	ヘルクヴィスト
Hellner	ヘルナル
Hellquist	ヘルクヴィスト
Hellqvist	ヘルクヴィスト
Hellstrand	ヘルストランド
Hellström	ヘルストレーム
Helmerson	ヘルメション
Henneberg	ヘンネバリ
Hennerberg	ヘンネルバリ
Henriksson	ヘンリクソン
Hermansson	ハールマンソン
Hermodsson	ヘルムドソン
Hertzberg	ハルツバリ
Hildingsson	ヒルディングソン
Hillborg	ヒルボリ
Hjalmarsson	ヤルマション
Hjelm	イェルム
Hjertén	ヤルテアン
Hjertstedt	ヤルトステット
Hjulström	ユルストレーム
Hofsten	ホフステーン
Högberg	ヘーグバリ
Höglind	ヘーグリンド
Höglund	ヘーグルンド
Högman	ヘーグマン
Högstedt	ヘーグステット
Högstrand	ヘーグストランド
Högström	ヘーグストレーム
Hök	ヘーク
Holewa	ホレヴァ
Holm	ホルム
Holmberg	ホルムバリ
Holmgren	ホルムグレーン
Holmkvist	ホルムクヴィスト
Holmlund	ホルムルンド
Holmquist	ホルムクヴィスト
Holmqvist	ホルムクヴィスト
Holmström	ホルムストレーム
Hörling	ホールリン
Hörnlund	ホルンルンド
Hultgren	フルトグレーン
Hultkrantz	フルトクランツ
Hultkvist	フルトクヴィスト
Hultman	フルトマン
Hultquist	フルトクヴィスト
Hultqvist	フルトクヴィスト
Husberg	フースバリ
Hylander	ヒュランデル
Idenstam	イーデンスタム
